2012/1
2012-06-12 22:43:45
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
교양;국어국문학과;1학년;001.014;;국어화법;3;월(1.5-1.5)/수(1.5-1.5);007-214/007-214;최영인;40;14;;normal_korean;33105;NaN
교양;국어국문학과;1학년;001.022A;;한국어 문장의 이해;3;금(6-3);001-210;차익종;40;16;;normal_korean;30382;NaN
교양;국어국문학과;1학년;001.026;;한국어 어휘와 표현;3;화(3-1.5)/목(3-1.5);001-209/001-209;김창섭;40;35;;normal_korean;5755;7.33
교양;영어영문학과;1학년;002.005A;001;영미문화 읽기;3;월(1.5-1.5)/수(1.5-1.5);001-102/001-102;이광진;40;12;;normal_foreign;;NaN
교양;영어영문학과;1학년;002.005A;002;영미문화 읽기;3;화(4.5-1.5)/목(4.5-1.5);001-102/001-102;박채윤;40;13;;normal_foreign;;NaN
교양;영어영문학과;1학년;002.006A;001;영미 대중소설 읽기;3;화(3-1.5)/목(3-1.5);001-207/001-207;김현진;40;16;;normal_foreign;30385;NaN
교양;영어영문학과;1학년;002.006A;002;영미 대중소설 읽기;3;월(4.5-1.5)/수(4.5-1.5);001-103/001-103;임현양;40;19;;normal_foreign;33106;NaN
교양;불어불문학과;1학년;002.042A;001;프랑스어권 문화의 이해;3;화(3-1.5)/목(3-1.5);014-101C/014-101C;김명숙;40;10;;normal_foreign;33107;NaN
교양;불어불문학과;1학년;002.042A;002;프랑스어권 문화의 이해;3;월(3-1.5)/수(3-1.5);005-212/005-212;김혜중;40;12;;normal_foreign;15419;6.13
교양;불어불문학과;1학년;002.042A;003;프랑스어권 문화의 이해;3;화(1.5-1.5)/목(1.5-1.5);007-214/007-214;장진영;40;19;;normal_foreign;686;7.87
교양;불어불문학과;1학년;002.042A;004;프랑스어권 문화의 이해;3;금(5-3);014-112B;권수경;40;25;;normal_foreign;10041;7.7
교양;불어불문학과;1학년;002.042A;005;프랑스어권 문화의 이해;3;화(4.5-1.5)/목(4.5-1.5);005-206/005-206;Constantin Makris;40;12;;normal_foreign;;NaN
교양;독어독문학과;1학년;002.053A;001;독일어권 문화의 이해;3;화(1.5-1.5)/목(1.5-1.5);014-112B/014-112B;홍진호;40;30;;normal_foreign;4803;8.0
교양;독어독문학과;1학년;002.053A;002;독일어권 문화의 이해;3;월(4.5-1.5)/수(4.5-1.5);014-112B/014-112B;김영룡;40;33;;normal_foreign;3861;7.59
교양;독어독문학과;1학년;002.053A;003;독일어권 문화의 이해;3;화(6-1.5)/목(6-1.5);014-112B/014-112B;김홍기;40;23;;normal_foreign;9120;9.0
교양;독어독문학과;1학년;002.053A;004;독일어권 문화의 이해;3;금(2-3);014-112B;이숙경;40;14;;normal_foreign;3571;7.16
교양;언어학과;1학년;002.076;;언어의 이해;2;월(7.5-2);083-402;하세경;60;50;;normal_foreign;14119;9.06
교양;서어서문학과;1학년;002.133;001;스페인어권 문화의 이해;3;화(7.5-1.5)/목(7.5-1.5);001-103/001-103;최해성;40;42;;normal_foreign;3637;8.78
교양;서어서문학과;1학년;002.133;002;스페인어권 문화의 이해;3;월(4.5-1.5)/수(4.5-1.5);007-101/007-101;박은영;40;19;;normal_foreign;8604;5.4
교양;서어서문학과;1학년;002.133;003;스페인어권 문화의 이해;3;화(6-1.5)/목(6-1.5);007-101/007-101;강성식;40;34;;normal_foreign;3059;7.26
교양;서어서문학과;1학년;002.133;004;스페인어권 문화의 이해;3;화(4.5-1.5)/목(4.5-1.5);007-101/007-101;장재준;40;38;;normal_foreign;23338;8.25
교양;중어중문학과;1학년;002.134;;중국어권의 사회와 문화;3;월(4.5-1.5)/수(4.5-1.5);43-1-402/43-1-402;이정훈;80;44;;normal_foreign;23339;9.25
교양;국어국문학과;1학년;003.008A;;현대시와 문화;3;수(7-3);001-101;조은주;40;16;;normal_art;26036;6.33
교양;국어국문학과;1학년;003.014B;;한국고전문학의 이해;3;월(3-1.5)/수(3-1.5);007-201/007-201;정병설;40;8;;normal_art;18163;NaN
교양;영어영문학과;1학년;003.017;;영시의 이해;3;월(6-1.5)/수(6-1.5);001-102/001-102;이성원;40;4;;normal_art;30391;NaN
교양;불어불문학과;1학년;003.018;001;프랑스명작의 이해;3;화(4.5-1.5)/목(4.5-1.5);007-214/007-214;김예령;40;9;;normal_art;30392;NaN
교양;독어독문학과;1학년;003.019;;독일명작의 이해;3;월(9-1.5)/수(9-1.5);005-211/005-211;전영애;40;37;;normal_art;8661;9.43
교양;협동과정  서양고전학전공;1학년;003.023;;희랍비극;3;화(3-1.5)/목(3-1.5);007-201/007-201;김기영;30;24;;normal_art;2909;6.47
교양;협동과정  서양고전학전공;1학년;003.024;;희랍·로마신화;3;월(1.5-1.5)/수(1.5-1.5);005-107-2/005-107-2;김헌;30;45;;normal_art;6100;9.07
교양;법과대학;1학년;003.025;;법과 문학;3;금(1.5-3);015-201;안경환;80;32;;normal_art;17743;5.0
교양;서어서문학과;1학년;003.030A;001;스페인어권명작의 이해;3;월(7.5-1.5)/수(7.5-1.5);007-201/007-201;정동희;40;22;;normal_art;23286;9.33
