2012/S
2012-06-12 22:53:57
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
교양;영어영문학과;1학년;002.006A;001;영미 대중소설 읽기;3;월(4-3)/수(4-3)/금(4-3);002-110/002-110/002-110;;50;49;월수금 4-6교시, 2동 110호;normal_foreign;;NaN
교양;영어영문학과;1학년;002.006A;002;영미 대중소설 읽기;3;월(7-3)/수(7-3)/금(7-3);002-110/002-110/002-110;;50;30;월수금 7-9, 2동 110호;normal_foreign;;NaN
교양;불어불문학과;1학년;002.042A;;프랑스어권 문화의 이해;3;월(4-3)/수(4-3)/금(4-3);005-211/005-211/005-211;장진영;40;40;월,수,금 4,5,6교시 005-211;normal_foreign;686;7.87
교양;독어독문학과;1학년;002.053A;;독일어권 문화의 이해;3;월(1-3)/수(1-3)/금(1-3);43-1-302/43-1-302/43-1-302;이소영;50;44;멀티미디어강의실 부탁드립니다;normal_foreign;22717;9.5
교양;서어서문학과;1학년;002.133;002;스페인어권 문화의 이해;3;월(4-3)/수(4-3)/금(4-3);003-102/003-102/003-102;강성식;40;40;;normal_foreign;3059;7.26
교양;서어서문학과;1학년;002.133;003;스페인어권 문화의 이해;3;월(7-3)/수(7-3)/금(7-3);003-102/003-102/003-102;최해성;40;48;;normal_foreign;3637;8.78
교양;국어국문학과;1학년;003.008A;;현대시와 문화;3;월(7-3)/수(7-3)/금(7-3);001-103/001-103/001-103;이성희;40;34;;normal_art;;NaN
교양;국어국문학과;1학년;003.010A;;드라마의 이해와 감상;3;월(7-3)/수(7-3)/금(7-3);083-401/083-401/083-401;양근애;40;40;;normal_art;26936;8.25
교양;협동과정  서양고전학전공;1학년;003.024;;희랍·로마신화;3;월(1-3)/수(1-3)/금(1-3);001-210/001-210/001-210;김진식;30;30;;normal_art;;NaN
교양;서어서문학과;1학년;003.030A;;스페인어권명작의 이해;3;월(7-3)/수(7-3)/금(7-3);005-101/005-101/005-101;장재준;40;42;;normal_art;7466;9.06
교양;미학과;1학년;003.052;;예술과 사회;3;월(7-3)/수(7-3)/금(7-3);001-102/001-102/001-102;정우진;50;50;;normal_art;7432;7.35
교양;서양화과;1학년;003.055;001;서양미술의 이해;3;수(4-3)/목(4-3)/금(4-3);220-203/220-203/220-203;허수정;150;38;미대생 수강불허;normal_art;729;7.12
교양;미학과;1학년;003.061A;;공연예술의 이해;2;월(1-3)/수(1-3)/금(1-3);220-201/220-201/220-201;전예완;50;49;220동 201호, 월수금1-3교시;normal_art;2476;8.36
교양;미학과;1학년;003.072A;001;영상예술의 이해;2;월(4-3)/수(4-3)/금(4-3);014-104/014-104/014-104;최연희;40;40;14동 104호, 월수금4-6교시;normal_art;3621;7.68
교양;미학과;1학년;003.072A;002;영상예술의 이해;2;월(7-3)/수(7-3)/금(7-3);220-201/220-201/220-201;인원근;50;33;220동 201호, 월수금7-9교시;normal_art;3325;6.85
교양;미학과;1학년;003.072A;003;영상예술의 이해;2;월(4-3)/수(4-3)/금(4-3);220-201/220-201/220-201;민현준;50;50;220동 201호, 월수금4-6교시;normal_art;26039;8.67
교양;미학과;1학년;003.074;;대중예술의 이해;2;월(7-3)/수(7-3)/금(7-3);009-106/009-106/009-106;계영경;50;48;;normal_art;4416;7.76
교양;국사학과;1학년;004.001;001;한국사;3;월(1-3)/수(1-3)/금(1-3);007-101/007-101/007-101;김수진;50;38;월수금 1-3교시;normal_history;19050;8.13
교양;국사학과;1학년;004.001;002;한국사;3;월(7-3)/수(7-3)/금(7-3);007-214/007-214/007-214;홍승우;50;50;월수금 7-9교시;normal_history;6305;7.76
교양;국사학과;1학년;004.001;003;한국사;3;월(4-3)/수(4-3)/금(4-3);007-214/007-214/007-214;김우택;50;49;월수금 4-6교시;normal_history;19013;8.35
교양;국사학과;2학년;004.010;001;한국현대사의 이해;3;월(1-3)/수(1-3)/금(1-3);014-104/014-104/014-104;한상구;50;24;월수금 1-3교시;normal_history;;NaN
교양;국사학과;2학년;004.015;;한국의 문화유산;2;화(4-3)/목(4-3);024-112/024-112;이광렬;50;59;화목 4-6교시;normal_history;12782;7.5
교양;동양사학과;1학년;004.021A;001;동아시아문화의 성립과 발전;3;월(7-3)/수(7-3)/금(7-3);43-1-302/43-1-302/43-1-302;송진;40;40;;normal_history;22727;8.75
교양;서양사학과;1학년;004.029A;001;유토피아의 역사;3;월(4-3)/수(4-3)/금(4-3);001-103/001-103/001-103;노경덕;50;60;월수금 12시 - 3시로 편성 바랍니다.;normal_history;;NaN
교양;서양사학과;1학년;004.029A;002;유토피아의 역사;3;월(7-3)/수(7-3)/금(7-3);005-107-2/005-107-2/005-107-2;노경덕;50;50;월수금 3시-6시로 편성 바랍니다;normal_history;;NaN
교양;고고미술사학과;1학년;004.039;;서양미술사입문;3;월(1-3)/수(1-3)/금(1-3);014-201/014-201/014-201;윤희경;70;41;;normal_history;19564;7.3
교양;서양사학과;1학년;004.045A;001;서양문명의 역사 1;3;월(1-3)/수(1-3)/금(1-3);007-102/007-102/007-102;박용진;50;45;월수금 9시 - 12시로 편성바랍니다;normal_history;;NaN
교양;서양사학과;1학년;004.045A;002;서양문명의 역사 1;3;월(4-3)/수(4-3)/금(4-3);007-102/007-102/007-102;이시연;50;50;월수금 12시 - 3시로 편성바랍니다;normal_history;;NaN
교양;서양사학과;1학년;004.047A;;서양사 속의 제국;3;월(4-3)/수(4-3)/금(4-3);007-106/007-106/007-106;정상수;50;53;월수금 12시 - 3시로 편성바랍니다;normal_history;32902;NaN
교양;국사학과;1학년;004.049;001;인물로 본 한국사;2;화(1-3)/목(1-3);007-214/007-214;;50;51;;normal_history;;NaN
교양;국사학과;1학년;004.049;002;인물로 본 한국사;2;화(4-3)/목(4-3);007-214/007-214;한보람;50;77;;normal_history;;NaN
교양;국사학과;1학년;004.050;;남북분단과 한국전쟁;2;화(1-3)/목(1-3);005-211/005-211;오제연;50;80;화목 1-3교시;normal_history;12752;9.29
교양;철학과;1학년;004.051;001;철학개론;3;월(7-3)/수(7-3)/금(7-3);007-106/007-106/007-106;;50;52;박정태선생님;normal_history;;NaN
교양;철학과;1학년;004.051;002;철학개론;3;월(4-3)/수(4-3)/금(4-3);009-110/009-110/009-110;;50;33;이종주선생님;normal_history;;NaN
교양;철학과;1학년;004.064;;현대사회의 철학적 이해;3;월(1-3)/수(1-3)/금(1-3);014-112B/014-112B/014-112B;진병운;50;28;;normal_history;3645;5.39
교양;종교학과;1학년;004.069;;종교학개론;3;월(1-3)/수(1-3)/금(1-3);083-604/083-604/083-604;윤용복;80;63;;normal_history;10633;7.67
