2013/W
2013-12-28 17:59:56
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
교양;영어영문학과;1학년;002.006A;002;영미 대중소설 읽기;3;월(4-3)/수(4-3)/금(4-3);001-207/001-207/001-207;이정진;50;22;월수금 4-6교시, 1동 207호;normal_foreign;;
교양;불어불문학과;1학년;002.042A;001;프랑스어권 문화의 이해;3;월(1-3)/수(1-3)/금(1-3);001-103/001-103/001-103;장진영;40;27;;normal_foreign;;
교양;서어서문학과;1학년;002.133;001;스페인어권 문화의 이해;3;월(7-3)/수(7-3)/금(7-3);001-207/001-207/001-207;강성식;40;21;;normal_foreign;;
교양;국어국문학과;1학년;003.009A;000;소설로 보는 한국현대사회;3;월(4-3)/수(4-3)/금(4-3);001-210/001-210/001-210;최혜림;40;35;;normal_art;;
교양;국어국문학과;1학년;003.010A;000;드라마의 이해와 감상;3;월(7-3)/수(7-3)/금(7-3);001-103/001-103/001-103;양근애;40;30;;normal_art;;
교양;협동과정  서양고전학전공;1학년;003.024A;001;그리스.로마신화;3;월(4-3)/수(4-3)/금(4-3);005-212/005-212/005-212;김헌;50;38;;normal_art;;
교양;노어노문학과;1학년;003.031;001;러시아명작의 이해;3;월(1-3)/수(1-3)/금(1-3);004-309/004-309/004-309;박종소;50;23;;normal_art;;
교양;서양화과;1학년;003.055;001;서양미술의 이해;3;월(4-3)/수(4-3)/금(4-3);028-303/028-303/028-303;허수정;80;50;미대생수강불허;normal_art;;
교양;미학과;1학년;003.061A;001;공연예술의 이해;2;월(1-3)/수(1-3)/금(1-3);008-303/008-303/008-303;전예완;50;38;;normal_art;;
교양;미학과;1학년;003.068;001;예술과 과학;3;월(4-3)/수(4-3)/금(4-3);006-103/006-103/006-103;김영;50;30;;normal_art;;
교양;미학과;1학년;003.072A;001;영상예술의 이해;2;월(4-3)/수(4-3)/금(4-3);003-107/003-107/003-107;민현준;40;48;;normal_art;;
교양;미학과;1학년;003.072A;002;영상예술의 이해;2;월(7-3)/수(7-3)/금(7-3);006-103/006-103/006-103;인원근;40;23;;normal_art;;
교양;미학과;1학년;003.074;001;대중예술의 이해;2;월(4-3)/수(4-3)/금(4-3);008-302/008-302/008-302;계영경;50;33;;normal_art;;
교양;국사학과;1학년;004.001;002;한국사;3;월(7-3)/수(7-3)/금(7-3);007-203/007-203/007-203;김우택;50;38;;normal_history;;
교양;국사학과;1학년;004.002;001;한국인의 역사의식;3;월(7-3)/수(7-3)/금(7-3);003-102/003-102/003-102;정상우;50;45;;normal_history;;
교양;국사학과;2학년;004.010;002;한국현대사의 이해;3;월(1-3)/수(1-3)/금(1-3);006-105/006-105/006-105;이동원;50;44;;normal_history;;
교양;동양사학과;1학년;004.021A;001;동아시아문화의 성립과 발전;3;월(4-3)/수(4-3)/금(4-3);001-101/001-101/001-101;윤형진;60;34;월수금 4-6;normal_history;;
교양;서양사학과;1학년;004.047A;002;서양사 속의 제국;3;월(7-3)/수(7-3)/금(7-3);008-B101/008-B101/008-B101;정상수;50;38;;normal_history;;
교양;국사학과;1학년;004.049;001;인물로 본 한국사;2;월(1-3)/수(1-3)/금(1-3);002-110/002-110/002-110;이정민;50;32;;normal_history;;
교양;국사학과;1학년;004.050;001;남북분단과 한국전쟁;2;화(4-3)/목(4-3);001-103/001-103;오제연;50;42;;normal_history;;
교양;철학과;1학년;004.051;002;철학개론;3;월(7-3)/수(7-3)/금(7-3);008-301/008-301/008-301;안윤기;50;24;;normal_history;;
