2014/1
2015-07-11 18:51:58
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category;snuev_lec_id;snuev_eval_score
일선;영어영문학과;1학년;100.001;001;기초영어;1;월(8-2);002-106;이귀분;20;21;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;002;기초영어;1;화(8-2);002-106;이귀분;20;18;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;003;기초영어;1;수(8-2);005-208;여미영;20;16;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;004;기초영어;1;수(8-2);008-403;유이나;20;18;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;005;기초영어;1;목(8-2);005-208;여미영;20;10;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;006;기초영어;1;목(8-2);008-403;한예림;20;19;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;007;기초영어;1;금(1-2);002-105;조정곤;20;18;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;008;기초영어;1;금(3-2);002-105;박은정;20;19;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;009;기초영어;1;금(3-2);002-106;노근영;20;20;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;010;기초영어;1;금(5-2);002-105;박은정;20;14;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;011;기초영어;1;금(5-2);002-106;노근영;20;18;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;012;기초영어;1;금(5-2);002-104;장은영;20;12;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;013;기초영어;1;금(7-2);002-106;이정진;20;20;ⓔ수강기준에 맞지않을시 U("TEPS 및 기초영어·대학영어1·대학영어2·고급영어 이수안내" 반드시 확인후 신청);;;
일선;영어영문학과;1학년;100.001;014;기초영어;1;월(8-2);005-208;여미영;24;24;ⓔ®2014학번만 수강 가능;;;
일선;영어영문학과;1학년;100.001;015;기초영어;1;금(1-2);002-106;이정진;24;23;ⓔ®2014학번만 수강 가능;;;
일선;영어영문학과;1학년;100.001;016;기초영어;1;금(3-2);002-104;장은영;24;23;ⓔ®2014학번만 수강 가능;;;
일선;영어영문학과;1학년;100.001;017;기초영어;1;금(3-2);002-104-1;조정곤;24;17;ⓔ®2014학번만 수강 가능;;;
일선;영어영문학과;1학년;100.001;018;기초영어;1;금(7-2);002-105;박은정;24;19;ⓔ®2014학번만 수강 가능;;;
전선;국어국문학과;1학년;100.103;000;한국문학과 한국사회;3;월(1.5-1.5)/수(1.5-1.5);008-301/008-301;김종욱;80;60;;;;
전선;중어중문학과;1학년;100.106;001;중국의 대중문학;3;화(3-1.5)/목(3-1.5);083-501/083-501;이창숙;50;13;전공탐색;;;
전선;중어중문학과;1학년;100.108;001;중국고전문학탐색;3;월(6-1.5)/수(6-1.5);004-309/004-309;김월회;50;6;전공탐색;;;
전선;영어영문학과;1학년;100.109;001;영어학입문;3;월(6-1.5)/수(6-1.5);003-102/003-102;유은정;40;39;;;;
전선;영어영문학과;1학년;100.110;001;영문학서설;3;월(7.5-1.5)/수(7.5-1.5);001-203/001-203;김명환;40;31;;;;
전선;불어불문학과;1학년;100.115;001;프랑스문학과 예술의 흐름;3;화(6-1.5)/목(6-1.5);007-202/007-202;최권행;30;33;;;;
전선;독어독문학과;1학년;100.118;001;독일의 언어문화;3;월(3-1.5)/수(3-1.5);002-213/002-213;구명철;30;8;;;;
전선;노어노문학과;1학년;100.124;001;러시아예술과 문화;3;화(3-1.5)/목(3-1.5);007-214/007-214;서선정;20;15;;;;
전선;서어서문학과;1학년;100.125;001;현대라틴아메리카의 대중문화;3;월(6-1.5)/수(6-1.5);005-207/005-207;김용호;40;33;;;;
전선;서어서문학과;1학년;100.126A;001;스페인 영화의 이해;3;월(3-1.5)/수(3-1.5);009-106/009-106;임호준;40;37;;;;
전선;언어학과;1학년;100.129;001;언어와 언어학;3;화(3-1.5)/목(3-1.5);004-309/004-309;고희정;40;31;;;;
전필;언어학과;1학년;100.131;001;말소리의 세계;3;월(3-1.5)/수(3-1.5);004-309/004-309;윤기덕;40;21;;;;
전필;국사학과;1학년;100.133;001;한국사를 보는 관점과 자료;3;화(8-3);007-102;김인걸;50;44;;;;
전선;국사학과;1학년;100.134;001;20세기한국사;3;금(5-3);007-214;정숭교;50;26;;;;
전필;동양사학과;1학년;100.137;001;동양사학입문;3;화(5-3);007-205;김형종;20;18;;;;
전선;동양사학과;1학년;100.138;001;개관일본사;3;목(6-3);007-205;박수철;25;22;;;;
전선;동양사학과;1학년;100.139A;001;몽골세계제국사;3;월(6-3);004-302;김호동;40;26;;;;
전선;서양사학과;1학년;100.141;001;서양사를 보는 시각;3;월(3-1.5)/수(3-1.5);007-214/007-214;박흥식;40;36;;;;
전선;철학과;1학년;100.146A;001;인도불교철학;3;화(7.5-1.5)/목(7.5-1.5);005-211/005-211;강성용;60;13;;;;
전선;종교학과;1학년;100.149;001;세계종교;3;화(1.5-1.5)/목(1.5-1.5);004-309/004-309;방원일;40;18;;;;
